Beach,Date,Hour,Wind_speed,Gust,Wave,Period,Temperature,Wind_direction,Wave_direction,Degrees
Hondarribia,20,07h,11,21,"1,2",14,15,S (180.94673150412942°),ONO (285°),SIDE-SHORE
Hondarribia,20,10h,12,23,"1,3",14,15,S (178.32463887619764°),ONO (284°),OFF-SHORE
Hondarribia,20,13h,10,17,"1,3",14,16,S (181.3476271108976°),ONO (282°),OFF-SHORE
Hondarribia,20,16h,5,10,"1,1",14,16,SSO (194.06473408941426°),O (281°),OFF-SHORE
Hondarribia,20,19h,8,13,"1,1",13,15,S (174.7764354289375°),O (281°),OFF-SHORE
Hondarribia,20,22h,8,15,"1,0",14,14,S (182.00089700049767°),ONO (282°),OFF-SHORE
Hondarribia,21,04h,11,16,"1,6",14,14,O (272.86232897424617°),ONO (295°),SIDE-SHORE
Hondarribia,21,07h,11,18,"1,6",13,13,OSO (246.63937873972702°),ONO (298°),SIDE-SHORE
Hondarribia,21,10h,15,24,"1,7",13,12,O (264.81687732944033°),ONO (298°),SIDE-SHORE
Hondarribia,21,13h,8,16,"1,7",13,12,SO (221.05381000807503°),ONO (297°),OFF-SHORE
Hondarribia,21,16h,4,5,"2,0",12,11,SO (230.87274396658998°),ONO (300°),OFF-SHORE
Hondarribia,21,19h,4,4,"2,1",11,10,SO (227.21867944876718°),ONO (302°),OFF-SHORE
Hondarribia,21,22h,4,4,"2,1",11,10,SO (221.8636378055003°),NO (304°),OFF-SHORE
Hondarribia,22,04h,4,5,"1,7",11,8,SE (133.437394489633°),NO (305°),OFF-SHORE
Hondarribia,22,07h,3,5,"1,5",11,8,SE (141.486139687057°),NO (306°),OFF-SHORE
Hondarribia,22,10h,4,6,"1,3",10,8,SE (136.0935195250977°),NO (306°),OFF-SHORE
Hondarribia,22,13h,4,9,"1,3",10,10,ESE (118.32959669845953°),NO (307°),SIDE-SHORE
Hondarribia,22,16h,6,11,"1,3",10,11,ESE (116.49230626865854°),NO (306°),SIDE-SHORE
